id,date,status,text,photo,parti
445506883068120,2019-12-12,Inactive,"Kijk naar haar reactie. 🤩 Zij is de 100.000ste persoon om het minimumpensioen van 1.500 euro netto te ondersteunen.  Met dank aan alle ondertekenaars ❤ werd de eerste burgerwet in het parlement ingediend. Maar wij gaan door.  💪 Om meer gewicht te hebben, willen we 250.000 mensen bereiken. We willen winnen. Deel dit bericht en teken nu voor later: www.1500netto.be/win #flashmob",,pvda
548779932346441,2019-12-11,Actif,1.500 euro netto minimumpensioen zou normaal moeten zijn. Volg ook onze pagina als je akkoord gaat. ❤️,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80092706_548845485673219_8501629664962281472_n.jpg?_nc_cat=103&_nc_ohc=zbL569_dx8gAX_Xr0BE&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=45f21e6eebf16ec6b1513a9a7c1022fb&oe=5E8FBBDD,pvda
550226865829772,2019-12-11,Actif,Politici moeten leven zoals de bevolking die ze vertegenwoordigen. Volg ook onze pagina als je akkoord gaat. ❤️,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/79102780_1038009056559120_7486200242572886016_n.jpg?_nc_cat=108&_nc_ohc=hTyw5hRqa34AX8ezlqS&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=db39c60358c375f8461d13558c989af0&oe=5E96F807,pvda
2609098949204769,2019-12-11,Actif,Hoe durven ze?! Wij hebben ook recht op een goed pensioen! Dwing samen het minimumpensioen van 1.500 euro netto af. Steun de eerste burgerwet op www.1500netto.be/n,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/79949849_2609276015853729_6104120328391229440_n.jpg?_nc_cat=110&_nc_ohc=A6CqtkP6EgoAX_54wQM&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=e54c5db843a9880fe8a0df6456090d71&oe=5ED6EC45,pvda
1237871213069704,2019-12-11,Actif,Onze pensioenen zijn de laagste van Europa. Dwing het minimumpensioen van 1.500 euro netto af! Samen dienen we de eerste burgerwet in. Teken nu voor later op www.1500netto.be/n,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80222683_1237980199725472_4283978055237500928_n.jpg?_nc_cat=105&_nc_ohc=70vYa7OnFFkAX87xiU0&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=206b8312737c871909dcdeabbc810aba&oe=5EA42BD3,pvda
1216153005245835,2019-12-11,Inactive,We kunnen winnen! Al meer dan 100.000 mensen ondersteunen de eerste burgerwet voor een minimumpensioen van 1.500 euro netto. En jij? www.1500netto.be/a,,pvda
290276275210817,2019-12-11,Inactive,We kunnen winnen! Al meer dan 100.000 mensen ondersteunen de eerste burgerwet voor een minimumpensioen van 1.500 euro netto. En jij? www.1500netto.be/a,,pvda
2553536874723614,2019-12-11,Inactive,"OFFICIEEL! De eerste 100.000 handtekeningen voor het minimumpensioen van 1.500 euro netto zijn vanochtend in de Kamer ingediend. Het wetsvoorstel voor de eerste burgerwet is ingediend. Maar het is nog niet voorbij: om te winnen, moeten we er nog talrijker zijn. Op naar de 250.000 handtekeningen zodat onze boodschap gehoord wordt! #wijgevennietop #wijwillenwinnen Teken nu via www.1500netto.be/win #1500netto",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80189822_2553793428031292_6994573680005087232_n.jpg?_nc_cat=111&_nc_ohc=rr3TWM6OUQIAX-YQEnu&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=345a27809bf8b81756f47cc89259680f&oe=5ED0BB7B,pvda
772422269849084,2019-12-11,Inactive,Onze pensioenen zijn de laagste van Europa. Dwing het minimumpensioen van 1.500 euro netto af! Samen dienen we de eerste burgerwet in. Teken nu voor later op www.1500netto.be/win,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80289747_772422313182413_5506545147493482496_n.jpg?_nc_cat=105&_nc_ohc=SbtDuP6LzHIAX-tHE9P&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=0284faa0e4d862983c5ffde3b1993201&oe=5ED99DA0,pvda
724114134743134,2019-12-11,Inactive,"OFFICIEEL! De eerste 100.000 handtekeningen voor het minimumpensioen van 1.500 euro netto zijn vanochtend in de Kamer ingediend. Het wetsvoorstel voor de eerste burgerwet is ingediend. Maar het is nog niet voorbij: om te winnen, moeten we nog talrijker zijn. Op naar de 250.000 handtekeningen zodat onze boodschap gehoord wordt! #wijwillenwinnen Teken nu via www.1500netto.be/win",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/79173308_10157074983033768_6027879290178109440_n.jpg?_nc_cat=109&_nc_ohc=JeeAbvHrr6wAX8UE4tY&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=e856c671b49f5af5701ef316f1f3f72c&oe=5E9DBECC,pvda
