,date,status,id,photo,text
28,4 déc 2019 - 31 déc 2019,Inactive,ID : 795765827543339,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/79531098_10157775887764320_754108846003191808_n.jpg?_nc_cat=102&_nc_ohc=ALDkjzZ5uFcAX8ddz9l&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=ca2e4c340801bc6e15a94f6a6114d4d8&oe=5EDBA6C3,"'Dit is te gek voor woorden', zegt Wouter Van Besien.   'Fietsers die de trein nemen, verdienen propere, veilige, ruime en gratis fietsparkings. We willen ze net in de watten leggen, in de plaats van ze af te schrikken.' 💚🚴‍♀️"
29,4 déc 2019 - 21 déc 2019,Inactive,ID : 583218309092201,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/79186465_10157773233699320_5692285685428387840_n.jpg?_nc_cat=111&_nc_ohc=5mVhnZcr40QAX-3doVX&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=22edb8e6558125e1557294046e092532&oe=5ED4FE48,Slechts in 1 op 3 stations kunnen mensen met beperking vandaag de trein nemen. Tenminste... als ze 24u op voorhand hebben gereserveerd 🤦🏻‍♀️  De dienstverlening van #NMBS moet beter voor mensen met beperking.  🇳🇱 In Nederland is 60% van de stations toegankelijk. Tegen 2025 gaan ze voor 99%. 🇧🇪 In België is 32% van de station toegankelijk. Hier worden 5 stations per jaar aangepakt. Mensen met beperking moeten nog 75 jaar geduld hebben...  #InternationalDayofPersonswithDisabilities #hetkananders
30,4 déc 2019 - 30 déc 2019,Inactive,ID : 591056761646547,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/79207718_837656109984526_6379837218541797376_n.jpg?_nc_cat=103&_nc_ohc=khUhhOqilNgAX9xZXgN&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=f1d103d557a955f153545e13dae78f02&oe=5E97820E,Mensen met een beperking kunnen vandaag in slechts 1 op 3 stations de trein nemen 😳   Dat kan anders. Like onze pagina als jij ook een toegankelijker openbaar vervoer wilt 👍
31,4 déc 2019 - 31 déc 2019,Inactive,ID : 725355234652520,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/79186465_10157773233699320_5692285685428387840_n.jpg?_nc_cat=111&_nc_ohc=5mVhnZcr40QAX-3doVX&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=22edb8e6558125e1557294046e092532&oe=5ED4FE48,Slechts in 1 op 3 stations kunnen mensen met beperking vandaag de trein nemen. Tenminste... als ze 24u op voorhand hebben gereserveerd 🤦🏻‍♀️  De dienstverlening van #NMBS moet beter voor mensen met beperking.  🇳🇱 In Nederland is 60% van de stations toegankelijk. Tegen 2025 gaan ze voor 99%. 🇧🇪 In België is 32% van de station toegankelijk. Hier worden 5 stations per jaar aangepakt. Mensen met beperking moeten nog 75 jaar geduld hebben...  #InternationalDayofPersonswithDisabilities #hetkananders
32,4 déc 2019 - 21 déc 2019,Inactive,ID : 527037474553287,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/79018561_433366354263904_5589457137500684288_n.jpg?_nc_cat=107&_nc_ohc=LWaH1iBewicAX_PghPV&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=64d9d88008617963d7c653c3868cd962&oe=5EDC1A63,"""Mesen is een gastvrije stad en we heten de verzoekers om internationale bescherming welkom. We vinden het onze taak als stad om ons steentje bij te dragen nu de nood aan opvangplaatsen steeds groter wordt."" 💚"
33,29 nov 2019 - 31 déc 2019,Inactive,ID : 597441587496718,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/78844112_10157759157489320_4385121747624525824_n.jpg?_nc_cat=109&_nc_ohc=J9WaaCemN-4AX83vOD2&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=e78213654b72709ea9853603cbb0be15&oe=5ED95555,Historische stemming in het Europees Parlement 🌍 Onder impuls van de groenen werd de klimaatnoodtoestand uitgeroepen. En nu: tijd voor actie ✊  (Jammer dat N-VA en Vlaams Belang niet inzagen dat het water aan onze lippen staat en tegen stemden ❌)
34,29 nov 2019 - 31 déc 2019,Inactive,ID : 589648965196793,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/78344741_10157761201104320_5279378490347487232_n.jpg?_nc_cat=108&_nc_ohc=7pQR6Qpa5pkAX86XZ1S&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=fc226ed7d17f7db60ee6f686fced9baa&oe=5E9390AB,"Geachte Vlaamse regering, de wachtzaal zit vol. 👨‍👩‍👦‍👦👩‍👩‍👦‍👦 Vol met kinderen en jongeren die schreeuwen om psychische hulp. Want op dit moment gebeurt er simpelweg te weinig!  ⌛ Kinderen en jongeren wachten gemiddeld meer dan 4 maanden op hulp  😢 21.000 16- tot 24-jarigen met ernstige psychiatrische problemen worden niet geholpen  🧒🏻 13% van alle kinderen kampt vroeg of laat met psychische problemen  Minister Beke, zet je rode neus op en laat je hart zien. Investeer in onze jeugd en en geef hen de hulp die ze verdienen.   #rodeneuzendag"
35,29 nov 2019 - 30 déc 2019,Inactive,ID : 563855051112355,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78177356_2487088528206710_3719050213541806080_n.jpg?_nc_cat=101&_nc_ohc=N92VV4vETgYAX8PwwcH&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=52e6ebba3add6acf8ab545b09bc9e25b&oe=5E9309B4,Wachtlijsten in de zorg zijn onaanvaardbaar. Tijd om er iets aan te doen. Akkoord? 👍 LIKE onze pagina.
36,27 nov 2019 - 31 déc 2019,Inactive,ID : 2513209272132981,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78802336_2513209325466309_6427035722259103744_n.jpg?_nc_cat=105&_nc_ohc=ntAmYBlJbRQAX9MKkwG&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=3edd18a0498cabc5257af45786a708c7&oe=5E911652,Creatief de files omzeilen? 🤩 47.000 mensen deden het 💪  Vind jij dat de waterbus moet blijven? #hetkananders
37,27 nov 2019 - 31 déc 2019,Inactive,ID : 1506830502789352,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/74155828_10157755658459320_8802296827589165056_n.jpg?_nc_cat=101&_nc_ohc=MfeN-4KbmA0AX-3ULZI&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=234d5f8e2d0ae27011803a0cd632305e&oe=5ED1C728,"Als je kiest voor euthanasie blijft je wilsverklaring binnenkort onbeperkt geldig in de tijd dankzij ons wetsvoorstel. Tenzij je je bedenkt, dan kan je het op elk moment herroepen.   Dit wetsvoorstel van parlementsleden Barbara Creemers en Laurence Hennuy (Ecolo) om de termijn voor de wilsverklaring bij euthanasie af te schaffen, werd gisteren goedgekeurd door de Kamercommissie Volksgezondheid 💚  Lees hier meer: https://www.groen.be/termijn_wilsverklaring_voor_euthanasie_binnenkort_onbeperkt_geldig_in_de_tijd"
